"Booking No","Ticket Type","Ticket Count","Ticket Amount","Processing Fee","Ticket Fee","Platform Fee","Agent Fee","Discount Amount","Grand Total","Payment Status","Booking Status","Event Name","Organizer","Venue","Created Date","Stripe Revenue","Eventox Revenue","Organizer Revenue","Refund Amount","Actions"
"EV17694826930810GQWGG","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:58:13.142Z","3.71","6.42","116","0",""
"EV1769482713243FMRNAE","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:58:33.282Z","3.71","6.42","116","0",""
"EV17694827159310WR4IX","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:58:35.936Z","3.71","6.42","116","0",""
"EV1769482719293HZ5QPR","Executive Adult","2","116","3.13","3","4","0","0","126.13","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:58:39.298Z","3.71","6.42","116","0",""
"EV1769482722220FKERM8","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:58:42.228Z","3.71","6.42","116","0",""
"EV1769482742948LVYY8A","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:59:02.973Z","3.71","6.42","116","0",""
"EV1769482744866EJC5FQ","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:59:04.872Z","3.71","6.42","116","0",""
"EV17694827537897SGSAR","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T02:59:13.795Z","3.71","6.42","116","0",""
"EV1769482821382XM032E","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T03:00:21.404Z","3.71","6.42","116","0",""
"EV1769482829583YOLQ4J","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T03:00:29.588Z","3.71","6.42","116","0",""
"EV17694828402352GNEDD","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T03:00:40.241Z","3.71","6.42","116","0",""
"EV1769482854670R7FQK6","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T03:00:54.690Z","3.71","6.42","116","0",""
"EV1769482885380V5BH36","Adult","2","96","2.59","3","4","0","0","105.59","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T03:01:25.384Z","3.15","6.44","96","0",""
"EV1769492956557S9BE56","VIP (All ages 5 years+)","1","68","1.84","1.5","2","0","0","73.34","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T05:49:16.584Z","2.28","3.06","68","0",""
"EV17694933783650QYCYL","VIP (All ages 5 years+)","2","136","3.67","3","4","0","0","146.67","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T05:56:18.404Z","4.26","6.41","136","0",""
"EV1769506126828Z534DR","Executive Adult","7","381","10.29","10.5","14","0","0","415.79","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T09:28:46.861Z","11.53","23.26","381","0",""
"EV1769547680262UQDPZZ","Adult","2","96","2.59","3","4","0","0","105.59","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T21:01:20.291Z","3.15","6.44","96","0",""
"EV1769550964670O46J9E","Adult","3","144","3.89","4.5","6","0","0","158.39","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-27T21:56:04.703Z","4.58","9.81","144","0",""
"EV176956838687770IFP9","Executive Adult","3","149","4.02","4.5","6","0","0","163.52","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T02:46:26.916Z","4.72","9.8","149","0",""
"EV176956881818996OTXF","VVIP Ticket – Phase 1 ","2","138","3.73","1","0","0","0","142.73","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-28T02:53:38.217Z","4.15","0.58","138","142.73",""
"EV17695804578708PRRBU","Executive Adult","2","116","3.13","3","4","0","0","126.13","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T06:07:37.914Z","3.71","6.42","116","0",""
"EV1769584724436YLTNYA","Executive Adult","3","149","4.02","4.5","6","0","0","163.52","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T07:18:44.485Z","4.72","9.8","149","0",""
"EV1769586240633OC4GHM","VIP Complimentary Sponsor","10","0","0","0","0","0","0","0","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T07:44:00.674Z","0","0","0","0",""
"EV1769586579954OT7VP0","Adult","1","48","1.3","1.5","2","0","0","52.8","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T07:49:39.959Z","1.73","3.07","48","0",""
"EV17695919172835H2OTE","Executive Adult","1","58","1.57","1.5","2","0","0","63.07","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T09:18:37.318Z","2","3.07","58","0",""
"EV1769592926525UDU7JE","Adult","3","128","3.46","4.5","6","0","0","141.96","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-28T09:35:26.557Z","4.13","9.83","128","0",""
"EV1769593350479QN5DKF","Student Ticket Phase 1 ","4","104","2.81","2","0","0","0","108.81","failed","failed","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-28T09:42:30.508Z","3.24","1.57","104","0",""
"EV17696399814322SHE22","High Five Pass (Group of 5) – Phase 1 ","5","130","3.51","0.5","0","0","0","134.01","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-28T22:39:41.453Z","3.92","0.09","130","134.01",""
"EV17696526298616ZDM2P","General Admission – Phase 1 ","1","27","0.73","0.5","0","0","0","28.23","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-29T02:10:29.893Z","1.06","0.17","27","28.23",""
"EV17696564293869328FP","Adult","2","96","2.59","3","4","0","0","105.59","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T03:13:49.415Z","3.15","6.44","96","0",""
"EV17696588490714I72NR","General Admission – Phase 1 ","1","27","0.73","0.5","0","0","0","28.23","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-29T03:54:09.105Z","1.06","0.17","27","28.23",""
"EV17696630545181QX7SG","Student Ticket Phase 1 ","2","52","1.4","1","0","0","0","54.4","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-29T05:04:14.554Z","1.77","0.63","52","54.4",""
"EV176967193884750IUIV","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T07:32:18.875Z","3.71","6.42","116","0",""
"EV17696725627179M4XJT","Executive Adult","2","116","3.13","3","4","0","0","126.13","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T07:42:42.757Z","3.71","6.42","116","0",""
"EV1769675294431KH5UWT","Adult","10","416","11.23","15","20","0","0","462.23","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T08:28:14.476Z","12.78","33.45","416","0",""
"EV176967583358191HUOZ","General Admission – Phase 1 ","1","27","0.73","0.5","0","0","0","28.23","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-29T08:37:13.616Z","1.06","0.17","27","28.23",""
"EV1769676375738VHGH6H","Adult","1","48","1.3","1.5","2","0","4.800000000000001","48","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T08:46:15.764Z","1.6","3.2","43.2","0",""
"EV1769677547704OOWIHZ","Student Ticket Phase 1 ","1","26","0.7","0.5","0","0","0","27.2","expired","expired","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-29T09:05:47.740Z","1.03","0.17","26","0",""
"EV1769683051222OYU1HW","Adult","6","256","6.91","9","12","0","0","283.91","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T10:37:31.228Z","7.97","19.94","256","0",""
"EV1769720965089AJIKTI","Executive Adult","2","116","3.13","3","4","0","0","126.13","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T21:09:25.126Z","3.71","6.42","116","0",""
"EV1769722311352LSC1ML","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T21:31:51.358Z","3.71","6.42","116","0",""
"EV1769722318304RSDTH7","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T21:31:58.308Z","3.71","6.42","116","0",""
"EV1769722407753G0X09H","Adult","1","48","1.3","1.5","2","0","4.800000000000001","48","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-29T21:33:27.777Z","1.6","3.2","43.2","0",""
"EV1769741596915I3IW3Z","Adult","3","128","3.46","4.5","6","0","0","141.96","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T02:53:16.947Z","4.13","9.83","128","0",""
"EV1769745215898FOV5FC","Adult","2","96","2.59","3","4","0","0","105.59","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T03:53:35.923Z","3.15","6.44","96","0",""
"EV176974526700315KHE9","Adult","2","96","2.59","3","4","0","0","105.59","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T03:54:27.030Z","3.15","6.44","96","0",""
"EV1769760669295VAFT7H","Adult","3","128","3.46","4.5","6","0","0","141.96","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T08:11:09.306Z","4.13","9.83","128","0",""
"EV1769760806781MN8YB4","Adult","3","128","3.46","4.5","6","0","0","141.96","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T08:13:26.804Z","4.13","9.83","128","0",""
"EV1769761764299MAMEZ9","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","0","159.83","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T08:29:24.334Z","4.62","13.21","142","0",""
"EV1769762834211LK1MJ7","High Five Pass Phase 2","5","150","4.05","2.5","0","0","0","156.55","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T08:47:14.246Z","4.53","2.02","150","156.55",""
"EV1769766461368FAAHCD","Adult","1","48","1.3","1.5","2","0","4.800000000000001","48","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T09:47:41.376Z","1.6","3.2","43.2","0",""
"EV1769772175056UWGWU7","General Admission Phase 2","2","62","1.67","1","0","0","0","64.67","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T11:22:55.090Z","2.05","0.62","62","64.67",""
"EV1769788388092XVXT3Z","Student Ticket Phase 2","1","29","0.78","0.5","0","0","0","30.28","expired","expired","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T15:53:08.132Z","1.12","0.16","29","0",""
"EV1769788610660A52RJO","Student Ticket Phase 2","1","29","0.78","0.5","0","0","0","30.28","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T15:56:50.681Z","1.12","0.16","29","30.28",""
"EV1769801838950GBR148","VIP Ticket – Phase 1","1","35","0.95","0.5","0","0","0","36.45","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T19:37:18.986Z","1.28","0.17","35","36.45",""
"EV1769805974840JMENSO","Executive Adult","3","149","4.02","4.5","6","0","0","163.52","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T20:46:14.883Z","4.72","9.8","149","0",""
"EV1769807968762P6FF8N","Executive Adult","2","116","3.13","3","4","0","0","126.13","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T21:19:28.771Z","3.71","6.42","116","0",""
"EV1769808031306R6MF9K","Executive Adult","2","116","3.13","3","4","0","0","126.13","failed","failed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T21:20:31.332Z","3.71","6.42","116","0",""
"EV1769808506476WFGZ7T","High Five Pass Phase 2","7","212","5.72","3.5","0","0","0","221.22","refunded","refunded","BEYOND BORDERS WORLD TOUR 2026 – VEDAN LIVE","PakkaLocal NZ","","2026-01-30T21:28:26.517Z","6.27","2.95","212","221.22",""
"EV1769815875437P88MFK","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:15.465Z","4.23","13.6","127.8","0",""
"EV1769815886883CW60WC","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:26.914Z","4.23","13.6","127.8","0",""
"EV1769815890089L366RS","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:30.094Z","4.23","13.6","127.8","0",""
"EV1769815903449MLE4H1","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:43.457Z","4.23","13.6","127.8","0",""
"EV1769815907222F3FDAH","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:47.228Z","4.23","13.6","127.8","0",""
"EV17698159152792OMQOL","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:55.286Z","4.23","13.6","127.8","0",""
"EV1769815917504VR9XLX","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:57.508Z","4.23","13.6","127.8","0",""
"EV1769815919130B26G8P","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:31:59.136Z","4.23","13.6","127.8","0",""
"EV1769815920989CMI27J","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:00.997Z","4.23","13.6","127.8","0",""
"EV1769815924678MKGOYR","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:04.684Z","4.23","13.6","127.8","0",""
"EV17698159533308KA4XP","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:33.356Z","4.23","13.6","127.8","0",""
"EV176981596943158JR7U","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:49.466Z","4.23","13.6","127.8","0",""
"EV1769815975354H1VZ1J","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:55.359Z","4.23","13.6","127.8","0",""
"EV1769815976265YF5F8C","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:32:56.268Z","4.23","13.6","127.8","0",""
"EV1769815982836SUD26R","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:33:02.841Z","4.23","13.6","127.8","0",""
"EV17698159847587PRHPI","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","","","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:33:04.762Z","4.23","13.6","127.8","0",""
"EV1769815986954JA1I6D","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:33:06.958Z","4.23","13.6","127.8","0",""
"EV1769816003311LAKJQ0","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","159.83","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:33:23.345Z","4.62","13.21","127.8","0",""
"EV176981602081140MTNJ","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:33:40.817Z","4.23","13.6","127.8","0",""
"EV17698161048009UXDV0","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:35:04.806Z","4.23","13.6","127.8","0",""
"EV1769816106564ZB3FEU","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:35:06.570Z","4.23","13.6","127.8","0",""
"EV17698161341873OYYAZ","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:35:34.191Z","4.23","13.6","127.8","0",""
"EV1769816136003RXE1ED","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:35:36.008Z","4.23","13.6","127.8","0",""
"EV1769816155063IUBGAP","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:35:55.085Z","4.23","13.6","127.8","0",""
"EV1769817191541J6R4RW","VIP Complimentary Sponsor","4","0","0","0","0","0","0","0","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-30T23:53:11.579Z","0","0","0","0",""
"EV1769818066178PZ6J7K","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T00:07:46.187Z","4.23","13.6","127.8","0",""
"EV1769818070588V5WV4A","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","14.200000000000001","145.63000000000002","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T00:07:50.593Z","4.23","13.6","127.8","0",""
"EV1769820989935VN6ER1","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","0","159.83","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T00:56:29.971Z","4.62","13.21","142","0",""
"EV1769821816382AIUZ9Y","Executive Adult","2","116","3.13","3","4","0","0","126.13","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T01:10:16.418Z","3.71","6.42","116","0",""
"EV1769825115099SAEOHI","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","0","159.83","paid","confirmed","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T02:05:15.128Z","4.62","13.21","142","0",""
"EV1769825683562M2A1N3","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","0","159.83","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T02:14:43.567Z","4.62","13.21","142","0",""
"EV1769825685838Z3H5X9","Family of 4 (2 Adult + 2 Child)","4","142","3.83","6","8","0","0","159.83","expired","expired","Shelz Media & Karnival Lights Presents  Kripa Financial Solutions Vineeth Sreenivasan Live NZ-2026","Karnival Lights and Shelz Media
","","2026-01-31T02:14:45.843Z","4.62","13.21","142","0",""
